arch_id,layer_num,layer_type,units,activation,dropout_rate,reward,accuracy,complexity,complexity_epochs,completed,termination_reason
4335,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4336,1,dense,8.0,tanh,,74.95155145379388,68.6894416809082,99.98949481842423,91.0,True,stop
4337,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4338,1,dense,8.0,tanh,,75.32686998101556,69.1585898399353,99.98949481842423,91.0,True,stop
4339,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4340,1,dense,8.0,tanh,,75.35134975019955,69.18919086456299,99.98949481842423,86.0,True,stop
4341,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4342,1,dense,512.0,relu,,75.84889615501424,69.8113203048706,99.33296299066552,88.0,True,stop
4343,1,dense,512.0,relu,,0.0,,,,False,incomplete
4344,1,dense,512.0,relu,,75.08204845893867,68.85262727737427,99.33296299066552,96.0,True,stop
4345,1,dense,512.0,relu,,0.0,,,,False,incomplete
4346,1,dense,8.0,tanh,,74.22539605946719,67.78174638748169,99.98949481842423,95.0,True,stop
4347,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4348,1,dense,8.0,tanh,,75.3839853257215,69.22998428344727,99.98949481842423,90.0,True,stop
4349,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4350,1,dense,8.0,tanh,,75.11473403576325,68.89342069625854,99.98949481842423,88.0,True,stop
4351,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4352,1,dense,8.0,tanh,,75.35135059061408,69.18919086456299,99.98949481842423,90.0,True,stop
4353,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4354,1,dense,8.0,tanh,,75.30239308927047,69.1279947757721,99.98949481842423,87.0,True,stop
4355,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4356,1,dense,8.0,tanh,,75.70218850823724,69.6277379989624,99.98949481842423,91.0,True,stop
4357,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4358,1,dense,8.0,tanh,,75.32686977091193,69.1585898399353,99.98949481842423,90.0,True,stop
4359,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4360,1,dense,8.0,tanh,,75.4982112467618,69.37276721000671,99.98949481842423,88.0,True,stop
4361,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4362,1,dense,8.0,tanh,,75.00866637829256,68.76083612442017,99.98949481842423,88.0,True,stop
4363,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4364,1,dense,8.0,tanh,,75.56348695607363,69.45436000823975,99.98949481842423,95.0,True,stop
4365,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4366,1,dense,8.0,tanh,,74.8210083753035,68.52626204490662,99.98949481842423,94.0,True,stop
4367,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4368,1,dense,8.0,tanh,,75.22080274375212,69.02600526809692,99.98949481842423,93.0,True,stop
4369,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4370,1,dense,8.0,tanh,,74.56807487310624,68.21009516716003,99.98949481842423,94.0,True,stop
4371,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4372,1,dense,8.0,tanh,,74.05403056457017,67.56756901741028,99.75350641950635,95.0,True,stop
4372,2,dense,512.0,tanh,,74.05403056457017,67.56756901741028,99.75350641950635,95.0,True,stop
4373,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4373,2,dense,512.0,tanh,,0.0,,,,False,incomplete
4374,1,dense,8.0,tanh,,75.25344224723112,69.06680464744568,99.98949481842423,93.0,True,stop
4375,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4376,1,dense,8.0,tanh,,75.15553180281185,68.94441843032837,99.98949481842423,86.0,True,stop
4377,1,dense,8.0,tanh,,0.0,,,,False,incomplete
4378,1,dense,8.0,tanh,,74.86180074366962,68.57725381851196,99.98949481842423,89.0,True,stop
4379,1,dense,8.0,tanh,,0.0,,,,False,incomplete
